MA==;0;143;;;;
MQ==;1;143;;;;
Mg==;2;143;;;;
Mw==;3;143;;;;
NA==;4;143;;;;
NQ==;5;143;;;;
Ng==;6;143;;;;
Nw==;7;143;;;;
OA==;8;143;;;;
OQ==;9;143;;;;
MTA=;10;143;;;;
MTE=;11;143;;;;
MTI=;12;143;;;;
MTM=;13;143;;;;
MTQ=;14;143;;;;
MTU=;15;143;;;;
MTY=;16;143;;;;
MTc=;17;143;;;;
MTg=;18;143;;;;
MTk=;19;143;;;;
MjA=;20;143;;;;
MjE=;21;143;;;;
MjI=;22;143;;;;
MjM=;23;143;;;;
MjQ=;24;143;;;;
MjU=;25;143;;;;
MjY=;26;143;;;;
Mjc=;27;143;;;;
Mjg=;28;143;;;;
Mjk=;29;143;;;;
MzA=;30;143;;;;
MzE=;31;143;;;;
MzI=;32;143;;;;
MzM=;33;143;;;;
MzQ=;34;143;;;;
MzU=;35;143;;;;
MzY=;36;143;;;;
Mzc=;37;143;;;;
Mzg=;38;143;;;;
Mzk=;39;143;;;;
NDA=;40;143;;;;
NDE=;41;143;;;;
NDI=;42;143;;;;
NDM=;43;143;;;;
NDQ=;44;143;;;;
NDU=;45;143;;;;
NDY=;46;143;;;;
NDc=;47;143;;;;
NDg=;48;143;;;;
NDk=;49;143;;;;
NTA=;50;143;;;;
NTE=;51;143;;;;
NTI=;52;143;;;;
NTM=;53;143;;;;
NTQ=;54;143;;;;
NTU=;55;143;;;;
NTY=;56;143;;;;
NTc=;57;143;;;;
NTg=;58;143;;;;
NTk=;59;143;;;;
NjA=;60;143;;;;
NjE=;61;143;;;;
NjI=;62;143;;;;
NjM=;63;143;;;;
NjQ=;64;143;;;;
NjU=;65;143;;;;
NjY=;66;143;;;;
Njc=;67;143;;;;
Njg=;68;143;;;;
Njk=;69;143;;;;
NzA=;70;143;;;;
NzE=;71;143;;;;
NzI=;72;143;;;;
NzM=;73;143;;;;
NzQ=;74;143;;;;
NzU=;75;143;;;;
NzY=;76;143;;;;
Nzc=;77;143;;;;
Nzg=;78;143;;;;
Nzk=;79;143;;;;
ODA=;80;143;;;;
ODE=;81;143;;;;
ODI=;82;143;;;;
ODM=;83;143;;;;
ODQ=;84;143;;;;
ODU=;85;143;;;;
ODY=;86;143;;;;
ODc=;87;143;;;;
ODg=;88;143;;;;
ODk=;89;143;;;;
OTA=;90;143;;;;
OTE=;91;143;;;;
OTI=;92;143;;;;
OTM=;93;143;;;;
OTQ=;94;143;;;;
OTU=;95;143;;;;
OTY=;96;143;;;;
OTc=;97;139;;;;
OTg=;98;143;;;;
